seq19,hCoV-19/HongKong/HKU-908a/2020:hCoV-19/HongKong/HKU-908b/2020
seq20,hCoV-19/Taiwan/8/2020:hCoV-19/Taiwan/5/2020
seq21,hCoV-19/Singapore/906/2020:hCoV-19/Singapore/20/2020
seq22,hCoV-19/Shanghai/SH0022/2020:hCoV-19/Shanghai/SH0023/2020
seq23,hCoV-19/HongKong/HKU-903a/2020:hCoV-19/HongKong/HKU-905a/2020:hCoV-19/HongKong/HKU-903b/2020
seq24,hCoV-19/USA/CA-CDC-3/2020:hCoV-19/USA/CA-CDC-4/2020
seq25,hCoV-19/Jiangxi/IVDC-JX-002/2020:hCoV-19/Pingxiang/JX5/2020
seq26,hCoV-19/Wuhan/WH04/2020:hCoV-19/Wuhan/HBCDC-HB-03/2020:hCoV-19/USA/IL1/2020:hCoV-19/Wuhan/WHUH011/2020:hCoV-19/Shangrao/JX29/2020:hCoV-19/Jiujiang/JX22/2020:hCoV-19/Wuhan/WHUH012/2020:hCoV-19/Wuhan/WHUH006/2020:hCoV-19/Taiwan/3/2020:hCoV-19/Australia/NSW01/2020:hCoV-19/Xinyu/JX122/2020:hCoV-19/Ganzhou/JX81/2020:hCoV-19/Shandong/2020C1240367/2020:hCoV-19/Hangzhou/ZJU-02/2020:hCoV-19/Wuhan/0126-C7/2020:hCoV-19/Wuhan/0126-C101/2020:hCoV-19/Wuhan/0126-C77/2020:hCoV-19/Sichuan/SC-WCH3-255/2020:hCoV-19/Nanchang/JX149/2020:hCoV-19/Shaoxing/01/2020:hCoV-19/Guangdong/20SF684/2020:hCoV-19/Guangdong/20SF685/2020:hCoV-19/Singapore/15/2020:hCoV-19/Guangdong/20SF813/2020:hCoV-19/Shandong/2020C1240111/2020:hCoV-19/Guangzhou/GZMU0056/2020:hCoV-19/Shaoxing/03/2020:hCoV-19/Shaoxing/02/2020:hCoV-19/Guangdong/2020XN4459-P0041/2020:hCoV-19/Shanghai/SH0013/2020:hCoV-19/Shanghai/SH0043/2020:hCoV-19/Shanghai/SH0024/2020:hCoV-19/Shaoxing/04/2020:hCoV-19/Taiwan/NTU01/2020:hCoV-19/Singapore/967/2020
seq27,hCoV-19/Beijing/Wuhan_IME-BJ07/2020:hCoV-19/Beijing/BJ287/2020:hCoV-19/Beijing/BJ288/2020
seq28,hCoV-19/Vietnam/38142/2020:hCoV-19/Vietnam/VR03-38142/2020
